mode: set
macedon/http_handler.go:24.62,25.27 1 0
macedon/http_handler.go:30.2,30.28 1 0
macedon/http_handler.go:35.2,35.28 1 0
macedon/http_handler.go:41.2,42.51 2 0
macedon/http_handler.go:25.27,29.3 3 0
macedon/http_handler.go:30.28,34.3 3 0
macedon/http_handler.go:35.28,39.3 3 0
macedon/http_handler.go:45.70,46.17 1 0
macedon/http_handler.go:51.2,52.16 2 0
macedon/http_handler.go:58.2,63.34 4 0
macedon/http_handler.go:46.17,50.3 3 0
macedon/http_handler.go:52.16,56.3 3 0
macedon/http_handler.go:66.77,67.26 1 1
macedon/http_handler.go:73.2,73.21 1 1
macedon/http_handler.go:79.2,80.16 2 0
macedon/http_handler.go:85.2,89.16 4 0
macedon/http_handler.go:94.2,97.43 2 0
macedon/http_handler.go:103.2,103.50 1 0
macedon/http_handler.go:108.2,112.16 3 0
macedon/http_handler.go:117.2,117.31 1 0
macedon/http_handler.go:67.26,71.3 3 0
macedon/http_handler.go:73.21,77.3 3 1
macedon/http_handler.go:80.16,84.3 3 0
macedon/http_handler.go:89.16,93.3 3 0
macedon/http_handler.go:97.43,101.3 3 0
macedon/http_handler.go:103.50,107.3 3 0
macedon/http_handler.go:112.16,115.3 2 0
macedon/http_handler.go:120.77,121.26 1 0
macedon/http_handler.go:127.2,127.21 1 0
macedon/http_handler.go:133.2,134.16 2 0
macedon/http_handler.go:139.2,143.16 4 0
macedon/http_handler.go:148.2,151.21 2 0
macedon/http_handler.go:157.2,157.50 1 0
macedon/http_handler.go:162.2,165.16 3 0
macedon/http_handler.go:170.2,170.12 1 0
macedon/http_handler.go:176.2,176.31 1 0
macedon/http_handler.go:121.26,125.3 3 0
macedon/http_handler.go:127.21,131.3 3 0
macedon/http_handler.go:134.16,138.3 3 0
macedon/http_handler.go:143.16,147.3 3 0
macedon/http_handler.go:151.21,155.3 3 0
macedon/http_handler.go:157.50,161.3 3 0
macedon/http_handler.go:165.16,168.3 2 0
macedon/http_handler.go:170.12,171.23 1 0
macedon/http_handler.go:171.23,173.4 1 0
macedon/http_handler.go:179.75,180.26 1 1
macedon/http_handler.go:186.2,186.21 1 1
macedon/http_handler.go:192.2,193.16 2 0
macedon/http_handler.go:198.2,202.16 4 0
macedon/http_handler.go:207.2,210.21 2 0
macedon/http_handler.go:216.2,216.50 1 0
macedon/http_handler.go:221.2,225.16 3 0
macedon/http_handler.go:229.2,231.32 3 0
macedon/http_handler.go:239.2,239.33 1 0
macedon/http_handler.go:180.26,184.3 3 0
macedon/http_handler.go:186.21,190.3 3 1
macedon/http_handler.go:193.16,197.3 3 0
macedon/http_handler.go:202.16,206.3 3 0
macedon/http_handler.go:210.21,214.3 3 0
macedon/http_handler.go:216.50,220.3 3 0
macedon/http_handler.go:225.16,228.3 2 0
macedon/http_handler.go:231.32,237.3 5 0
macedon/purge.go:16.93,23.19 5 1
macedon/purge.go:28.2,31.16 3 1
macedon/purge.go:23.19,26.3 2 0
macedon/purge.go:35.55,40.30 3 1
macedon/purge.go:63.2,63.32 1 1
macedon/purge.go:67.2,69.12 2 1
macedon/purge.go:40.30,43.22 2 1
macedon/purge.go:43.22,44.18 1 1
macedon/purge.go:46.4,47.18 2 1
macedon/purge.go:52.4,56.18 3 0
macedon/purge.go:44.18,44.29 1 1
macedon/purge.go:47.18,50.5 2 1
macedon/purge.go:56.18,59.5 2 0
macedon/purge.go:63.32,65.3 1 1
macedon/run.go:14.18,16.2 1 0
macedon/run.go:18.21,20.2 1 0
macedon/run.go:22.21,25.6 3 0
macedon/run.go:25.6,26.36 1 0
macedon/run.go:29.3,29.12 1 0
macedon/run.go:26.36,27.9 1 0
macedon/run.go:30.3,32.9 2 0
macedon/run.go:33.3,36.9 3 0
macedon/run.go:37.3,40.9 3 0
macedon/run.go:41.3,42.44 1 0
macedon/run.go:50.12,55.16 4 0
macedon/run.go:60.2,60.17 1 0
macedon/run.go:65.5,68.19 3 0
macedon/run.go:74.5,75.16 2 0
macedon/run.go:55.16,58.3 2 0
macedon/run.go:60.17,63.6 2 0
macedon/run.go:68.19,72.6 3 0
macedon/run.go:75.16,78.3 2 0
macedon/server.go:22.58,29.16 5 1
macedon/server.go:33.2,39.16 5 1
macedon/server.go:44.2,44.24 1 1
macedon/server.go:68.2,69.16 2 1
macedon/server.go:73.2,76.15 3 1
macedon/server.go:29.16,32.3 2 0
macedon/server.go:39.16,42.3 2 0
macedon/server.go:44.24,46.17 2 1
macedon/server.go:50.3,53.17 3 1
macedon/server.go:57.3,58.17 2 1
macedon/server.go:62.3,62.12 1 1
macedon/server.go:46.17,49.4 2 0
macedon/server.go:53.17,56.4 2 0
macedon/server.go:58.17,61.4 2 0
macedon/server.go:63.3,66.3 2 1
macedon/server.go:69.16,72.3 2 0
macedon/server.go:90.30,92.16 2 0
macedon/server.go:97.2,97.12 1 0
macedon/server.go:92.16,95.3 2 0
macedon/conf.go:35.60,36.16 1 1
macedon/conf.go:40.2,41.16 2 1
macedon/conf.go:46.2,47.16 2 1
macedon/conf.go:51.2,52.16 2 1
macedon/conf.go:57.2,58.16 2 1
macedon/conf.go:62.2,63.16 2 1
macedon/conf.go:68.2,69.16 2 1
macedon/conf.go:73.2,74.16 2 1
macedon/conf.go:78.2,79.16 2 1
